1,isbn,author,tag_author,name,publisher,city,type_of_printing,printing,publ_date,year_of_w,language,type,cover,read,series,condition,inscription,format,pages,from
323,,Вильям Козлов,В.Козлов,Маленький стрелок из лука,Современник,Москва,Основной,100000,1981,,русский,роман,твёрдая,FALSE,,normal - old,,84*108(1/32),415,неизвестно
324,,А.А.Фадеев,Фадеев,Молодая гвардия,Просвещение,Москва,Основной,1535000,1982,,русский,роман,твёрдая,FALSE,Школьная библиотека,worn - old,,60*90(1/16),528,была
325,,И.Ефремов,,Таис Афинская,Молодая гвардия,Москва,Основной,800000,1981,,русский,роман,твёрдая,FALSE,,worn - old,,70*100(1/16),368,была
326,,Л.Н.Толстой,Л.Толстой,Избранное,Лениздат,Ленинград,Основной,400000,1979,,русский,сборник рассказов,твёрдая,FALSE,,medium - old,,,752,была
327,,Александр Блок,Блок,Избранные произведения,Лениздат,Ленинград,Основной,100000,1980,,русский,поэзия,твёрдая,FALSE,,normal - old,,84*108(1/32),640,со Светлановского
328,,Л.Платов,Платов,Секретный фарватер,Детская литература,Москва,Основной,100000,1965,,русский,роман,твёрдая,TRUE,,bad - old,,84*108(1/32),512,была
329,5-265-01823-9,Нина Соротокина,Соротокина,Трое из навигацкой школы,Советский писатель,Москва,Основной,200000,1991,,русский,роман,твёрдая,FALSE,,normal - old,,84*108(1/32),352,была
330,5-7183-0024-0,Ник Кварри. Микки Спилейн,,Три романа о мафии,"Библиотека ""Звезды""",Ленинград,Основной,100000,1991,,русский,сборник романов,твёрдая,FALSE,,normal - old,,60*88(1/16),288,была
331,,Г.Караев. Л.Успенский,,60-я параллель,Детская литература,Ленинград,Основной,65000,1964,,русский,роман,твёрдая,FALSE,,bad - old,,84*108(1/32),832,была
332,,Л.Н.Толстой,Л.Толстой,Война и мир. Тома 1-2,Правда,Москва,Основной,200000,1974,,русский,роман,твёрдая,TRUE,,medium - old,,84*108(1/32),752,со Светлановского
333,,Л.Н.Толстой,Л.Толстой,Война и мир. Тома 3-4,Правда,Москва,Основной,200000,1974,,русский,роман,твёрдая,TRUE,,medium - old,,84*108(1/32),768,со Светлановского
334,5-270-011445-9,,,Трёхсотлетие дома Романовых. 1613 - 1913,Современник,Москва,Основной,100000,1992,,русский,история,твёрдая,FALSE,,medium - old,,70*90(1/16),320,была
335,5-88590-075-2,Пол Верховен,Верховен,Основной инстинкт,БАДППР,Минск,Основной,100000,1993,,русский,сборник романов,твёрдая,FALSE,,normal - old,,84*108(1/32),384,была
336,,В.А.Соллогуб,Соллогуб,Избранная проза,Правда,Москва,Основной,500000,1983,,русский,сборник рассказов,твёрдая,FALSE,,good - old,,84*108(1/32),528,со Светлановского
337,5-265-00404-1,Андрей Платонов ,Платонов,Государственный житель,Советский писатель,Москва,Основной,200000,1988,,русский,сборник рассказов,твёрдая,FALSE,,normal - old,,60*90(1/16),608,со Светлановского
338,,М.В.Нечкина,,Декабристы,Наука,Москва,Основной,160000,1976,,русский,история,мягкая,FALSE,История нашей Родины,medium - old,,84*108(1/32),184,была
339,,Б.Ф.Егоров,,Николай Александрович Добролюбов,Просвещение,Москва,Основной,181000,1986,,русский,биография,мягкая,FALSE,Биография писателя,medium - old,,84*108(1/32),159,была
340,,В.В.Коломинов. М.Ш.Файнштейн,,Храм муз словесных,Наука,Ленинград,Основной,90000,1986,,русский,история,мягкая,FALSE,Страницы истории нашей Родины,medium - old,,84*108(1/32),152,со Светлановского
341,,И.С.Эвентов,,Сергей Есенин,Просвещение,Москва,Основной,300000,1987,,русский,биография,мягкая,FALSE,Биография писателя,medium - old,,84*108(1/32),159,была
342,,А.С.Ромм,,Марк Твен,Наука,Москва,Основной,170000,1977,,русский,биография,мягкая,FALSE,Из истории мировой культуры,medium - old,,84*108(1/32),192,со Светлановского
343,5-275-00616-0,Сост.: В.А.Баришполец. Д.В.Баришполец. В.Л.Манилов,,Геополитика,Терра - книжный клуб,Москва,Основной,,2002,,русский,словарь,твёрдая,FALSE,,normal - old,,70*108(1/32),624,ДК Крупской
344,,Максим Горький,Горький,Детство. В людях. Мои университеты.,Лениздат,Ленинград,Основной,100000,1981,,русский,сборник романов,твёрдая,FALSE,,worn - old,,84*108(1/32),608,была
345,5-85060-011-6,Александр Солженицын,Солженицын,Один день Ивана Денисовича,"Центр ""Новый мир""",Москва,Основной,350000,1990,,русский,сборник рассказов,мягкая,FALSE,,medium - old,,84*108(1/32),224,Старая книга
346,,А.К.Толстой,А.Толстой,Избранные произведения,Лениздат,Ленинград,Основной,300000,1980,,русский,сборник,твёрдая,FALSE,,worn - old,,84*108(1/32),768,была
347,,Михаил Шолохов,Шолохов,Поднятая целина,Лениздат,Ленинград,Основной,200000,1977,,русский,роман,твёрдая,FALSE,,medium - old,,84*108(1/32),672,была
348,,Евгений Носов,,Усвятские шлемоносцы,Лениздат,Ленинград,Основной,400000,1982,,русский,сборник рассказов,твёрдая,FALSE,,good - old,,84*108(1/32),512,была
349,,Сост.: А.И.Немировский,,Книга для чтения по истории древнего мира,Просвещение,Москва,Основной,525000,1981,,русский,учебное пособие,твёрдая,FALSE,,medium - old,,60*90(1/16),304,была
350,,Д.В.Григорович,Григорович,Избранные сочинения,ГИ художественной литературы,Москва,Основной,100000,1955,,русский,сборник рассказов,твёрдая,FALSE,,medium - old,Ув.Мих.Мих.,60*92(1/16),700,со Светлановского
351,,Джон Голсуорси,Голсуорси,Сага о Форсайтах. Книга 1.,ГИ художественной литературы Литовской ССР,Вильнюс,Основной,75000,1956,,русский,роман,твёрдая,FALSE,,worn - old,,60*92(1/16),800,со Светлановского
352,,Джон Голсуорси,Голсуорси,Сага о Форсайтах. Книга 2.,ГИ художественной литературы Литовской ССР,Вильнюс,Основной,75000,1956,,русский,роман,твёрдая,FALSE,,worn - old,,60*92(1/16),728,со Светлановского
353,,Б.С.Локшина,,Поэзия А.Блока и С.Есенина,Просвещение,Ленинград,Основной,200000,1978,,русский,учебное пособие,мягкая,FALSE,,bad - old,,84*108(1/32),160,была
354,0-552-99609-2,Winston Groom,Грум,Forrest Gump,Black Swan,Reading,Дополнительный,,1995,,english,роман,мягкая,FALSE,,worn - old,,,240,ebay
355,978-5-389-05468-4,Шарль де Костер,де Костер,Легенда об Уленшпигеле,Азбука,Санкт-Петербург,Основной,5000,2014,,русский,роман,твёрдая,FALSE,Мировая классика,medium - new,поздравление Крысина,84*108(1/32),544,Старая книга
356,978-5-4461-1086-5,Александр Панчин,Панчин,Апофения,Питер,Санкт-Петербург,Дополнительный,3500,2019,,русский,роман,мягкая,FALSE,,normal - new,,84*108(1/32),256,Старая книга
357,978-5-389-04550-7,Ричард Йейтс,Йейтс,Дорога перемен,Азбука,Санкт-Петербург,Основной,5000,2012,1961,русский,роман,мягкая,FALSE,Азбука-классика,medium - new,,76*100(1/32),320,Старая книга
358,978-5-389-14864-2,Вирджиния Вулф,Вулф,На маяк. Миссис Дэллоуэй,Азбука,Санкт-Петербург,Основной,3000,2018,,русский,сборник романов,мягкая,FALSE,Азбука-классика,medium - new,,75*100(1/32),416,Старая книга
359,,Чарльз Диккенс,Диккенс,Домби и сын. Том 1.,ГИ Карело-финской ССР,Петрозаводск,Основной,100000,1954,1848,русский,роман,твёрдая,FALSE,,worn - old,,84*108(1/32),504,Старая книга
360,,Чарльз Диккенс,Диккенс,Домби и сын. Том 2.,ГИ Карело-финской ССР,Петрозаводск,Основной,100000,1954,1848,русский,роман,твёрдая,FALSE,,medium - old,,84*108(1/32),504,Старая книга
361,,В.Е.Гольдин,Гольдин,Речь и этикет,Просвещение,Москва,Дополнительный,300000,1983,,русский,публицистика,мягкая,FALSE,,worn - old,,60*90(1/16),109,была
362,,Вальтер Скотт,В.Скотт,Собрание сочинений. Том 1.,Правда,Москва,Дополнительный,1700000,1990,,русский,собрание сочинений,твёрдая,FALSE,собрание сочинений Вальтера Скотта,good - old,,84*108(1/32),512,со Светлановского
363,,Вальтер Скотт,В.Скотт,Собрание сочинений. Том 2.,Правда,Москва,Дополнительный,1700000,1990,,русский,собрание сочинений,твёрдая,FALSE,собрание сочинений Вальтера Скотта,good - old,,84*108(1/32),464,со Светлановского
364,,Вальтер Скотт,В.Скотт,Собрание сочинений. Том 3.,Правда,Москва,Дополнительный,1700000,1990,,русский,собрание сочинений,твёрдая,FALSE,собрание сочинений Вальтера Скотта,good - old,,84*108(1/32),464,со Светлановского
365,,Вальтер Скотт,В.Скотт,Собрание сочинений. Том 4.,Правда,Москва,Дополнительный,1700000,1990,,русский,собрание сочинений,твёрдая,FALSE,собрание сочинений Вальтера Скотта,good - old,,84*108(1/32),480,со Светлановского
366,,Вальтер Скотт,В.Скотт,Собрание сочинений. Том 5.,Правда,Москва,Дополнительный,1700000,1990,,русский,собрание сочинений,твёрдая,FALSE,собрание сочинений Вальтера Скотта,good - old,,84*108(1/32),512,со Светлановского
367,,Вальтер Скотт,В.Скотт,Собрание сочинений. Том 6.,Правда,Москва,Дополнительный,1700000,1990,,русский,собрание сочинений,твёрдая,FALSE,собрание сочинений Вальтера Скотта,good - old,,84*108(1/32),480,со Светлановского
368,,Вальтер Скотт,В.Скотт,Собрание сочинений. Том 7.,Правда,Москва,Дополнительный,1700000,1990,,русский,собрание сочинений,твёрдая,FALSE,собрание сочинений Вальтера Скотта,good - old,,84*108(1/32),512,со Светлановского
369,,Вальтер Скотт,В.Скотт,Собрание сочинений. Том 8.,Правда,Москва,Дополнительный,1700000,1990,,русский,собрание сочинений,твёрдая,FALSE,собрание сочинений Вальтера Скотта,good - old,,84*108(1/32),480,со Светлановского
370,,Н.В.Гоголь,Гоголь,Мертвые души,Советская Россия,Москва,Основной,300000,1980,,русский,роман,твёрдая,TRUE,,worn - old,,84*108(1/32),400,была
371,,Сост.: А.Ф.Захаркин,,Советские писатели. страницы творчества. Михаил Шолохов.,Русский язык,Москва,Основной,25000,1986,,русский/deutsch,биография,мягкая,FALSE,,medium - old,,84*108(1/32),256,была
372,5-86654-001-0,Ян Флеминг,Флеминг,На секретной службе её величества,"Шмель - Л.Ф. ""A.Z.""",Кишинев,Основной,200000,1991,,русский,роман,твёрдая,TRUE,,medium - old,мои детские надписи,84*108(1/32),264,была
373,,Любовь Руднева,Руднева,Никола,ГИ Детской литературы,Москва,Основной,30000,1955,,русский,роман,твёрдая,FALSE,,bad - old,в день рождения Зины от Вали,84*108(1/32),412,была
374,,А.В.Луначарский,Луначарский,Литература нового мира,Советская Россия,Москва,Основной,100000,1982,,русский,публицистика,твёрдая,FALSE,,medium - old,,84*108(1/32),320,была
375,,А.Н.Муравьев,,Творчество А.Т.Твардовского,Просвещение,Москва,Основной,150000,1981,,русский,биография,твёрдая,FALSE,,medium - old,,60*90(1/16),143,была
376,,В.Г.Короленко,Короленко,Избранные произведения,Лениздат,Ленинград,Основной,200000,1978,,русский,сборник рассказов,твёрдая,FALSE,,medium - old,,84*108(1/32),528,со Светлановского
377,,О.Генри,О.Генри,Избранные произведения,Лениздат,Ленинград,Основной,100000,1976,,русский,сборник рассказов,твёрдая,FALSE,,medium - old,,84*108(1/32),576,со Светлановского
378,,Жюль Верн,Верн,Таинственный остров,Карелия,Петрозаводск,Основной,200000,1980,,русский,роман,твёрдая,FALSE,,worn - old,,60*84(1/16),551,была
379,,Н.В.Станкевич,Станкевич,Избранное,Советская Россия,Москва,Основной,300000,1982,,русский,сборник,мягкая,FALSE,,medium - old,,84*108(1/32),256,была
380,5-288-00605-9,Г.В.Абрамович,,Князья Шуйские и Российский трон,Издательство Ленинградского университета,Ленинград,Основной,50000,1991,,русский,история,мягкая,FALSE,,medium - old,,84*108(1/32),192,неизвестно
381,05-08-2729-0,Ирина Токмакова,Токмакова,Счастливо. Ивушкин,Детская литература,Москва,Основной,100000,1992,,русский,сборник,твёрдая,FALSE,,medium - old,,60*90(1/16),638,была
382,,Геннадий Машкин,Машкин,Наводнение,Детская литература,Москва,Основной,75000,1978,,русский,сборник рассказов,твёрдая,FALSE,,medium - old,,84*108(1/32),206,была
383,,Леонтий Раковский,Раковский,Кутузов,Лениздат,Ленинград,Основной,700000,1986,,русский,роман,твёрдая,FALSE,,good - old,,84*108(1/32),655,была
384,,А.Кронин,Кронин,Замок Броуди,Лениздат,Ленинград,Основной,200000,1980,,русский,роман,твёрдая,FALSE,,worn - old,,84*108(1/32),560,со Светлановского
385,,Александр Андреев,Ал.Андреев,Широкое течение,Всесоюзное учебно-педагогическое издательство Профтехиздат,Москва,Основной,100000,1961,,русский,роман,твёрдая,FALSE,,worn - old,Ротцелайнен,84*108(1/32),272,была
386,,А.С.Пушкин,Пушкин,Стихотворения. Евгений Онегин.,Детская литература,Москва,Основной,300000,1979,,русский,поэзия,твёрдая,TRUE,,worn - old,,84*108(1/32),349,была
387,5-7575-0161-8,Борис Пастернак,Пастернак,Доктор Живаго,Куйбышевское книжное издательство,Куйбышев,Основной,150000,1989,,русский,роман,твёрдая,FALSE,,good - old,,84*108(1/32),528,со Светлановского
388,,А.П.Чехов,Чехов,Вишневый сад,Детская литература,Москва,Основной,2500000,1980,,русский,пьеса,твёрдая,TRUE,,worn - old,,84*108(1/32),96,была
389,,Н.Некрасов,Некрасов,Стихотворения и поэмы,Художественная литература,Москва,Основной,350000,1980,,русский,поэзия,твёрдая,FALSE,,medium - old,,84*108(1/32),559,была
390,5-268-00996-6,И.А.Бунин,Бунин,Антоновские яблоки,Советская Россия,Москва,Основной,1000000,1990,,русский,сборник рассказов,мягкая,FALSE,,medium - old,,84*108(1/32),256,была
391,,Н.И.Павленко,Павленко,Петр Первый и его время,Просвещение,Москва,Основной,200000,1983,,русский,история,мягкая,FALSE,,worn - old,баттерфляй 200 м,60*90(1/16),144,была
392,,В.А.Жуковский,Жуковский,Стихотворение. Поэмы. Проза. ,Современник,Москва,Основной,100000,1983,,русский,сборник,твёрдая,FALSE,,good - old,,84*108(1/32),399,неизвестно
393,5-8392-0091-1,Анатолий Эйнгорн. Ясутака Мацудайра,,Так побеждать!,"МП Риц ""Культ-Информ-Пресс""",Санкт-Петербург,Основной,50000,1994,,русский,публицистика,мягкая,FALSE,,good - old,Вл.Макс.,84*108(1/32),208,подарок
394,,Р.И.Хлодовский,,Франческо Петрарка,Наука,Москва,Основной,95000,1974,,русский,биография,мягкая,FALSE,Из истории мировой культуры,worn - old,Валюша,84*108(1/32),176,со Светлановского
395,,Ю.М.Лотман,,Александр Сергеевич Пушкин,Просвещение,Ленинград,Основной,600000,1982,,русский,биография,мягкая,FALSE,Биография писателя,bad - old,,84*108(1/32),255,была
396,,Аристотель,Аристотель,Сочинения. Том 1.,Мысль,Москва,Основной,220000,1976,,русский,собрание сочинений,твёрдая,FALSE,Собрание сочинений Аристотеля,normal - old,,84*108(1/32),550,со Светлановского
397,,Б.И.Казаков,,Лаборатория внутри нас,Знание,Москва,Основной,100000,1984,,русский,научпоп,мягкая,FALSE,,worn - old,,84*108(1/32),192,была
398,,Ханс Кристиан Андерсен,Андерсен,Огниво. Сказки и истории,Художественная литература,Москва,Основной,,1974,,русский,сборник сказок,мягкая,TRUE,,bad - old,,,220,была
399,,Н.В.Гоголь,Гоголь,Ревизор,Детская литература,Москва,Основной,400000,1977,,русский,пьеса,твёрдая,TRUE,,medium - old,,84*108(1/32),160,была
400,,Михаил Шолохов,Шолохов,Они сражались за родину. Судьба человека. Слово о родине.,Художественная литература,Москва,Основной,250000,1984,,русский,сборник,мягкая,FALSE,,medium - old,,84*108(1/32),207,была
401,,Алексей Толстой,А.Толстой,Петр Первый,Детская литература,Москва,Основной,200000,1977,,русский,роман,твёрдая,FALSE,,medium - old,,60*90(1/16),590,со Светлановского
402,,И.С.Тургенев,Тургенев,Записки охотника,Просвещение,Москва,Основной,490000,1985,,русский,сборник рассказов,твёрдая,FALSE,,medium - old,,60*90(1/16),256,была
403,,П.Х.Гребельский. А.Б.Мирвис,,Дом Романовых. Биографический справочник.,Художественная литература,Ленинград,Основной,50000,1989,,русский,история,твёрдая,FALSE,,bad - old,,60*84(1/16),144,была
404,,А.П.Чехов,Чехов,Дом с мезонином и др. рассказы. ,Детская литература,Ленинград,Основной,200000,1981,,русский,сборник рассказов,твёрдая,FALSE,,medium - old,,60*84(1/16),192,была
405,,Аркадий Гайдар,Гайдар,Военная тайна,Мурманское книжное издательство,Сортавала,Основной,200000,1976,,русский,сборник рассказов,твёрдая,FALSE,,worn - old,,84*108(1/32),192,была
406,,А.С.Пушкин,Пушкин,Повести Белкина. Капитанская дочка. Дубровский. ,Правда,Москва,Основной,400000,1976,,русский,сборник рассказов,твёрдая,TRUE,Школьная библиотека,medium - old,,84*108(1/32),238,Старая книга
407,,Ф.М.Достоевский,Достоевский,Дядюшкин сон. Село Степанчиково и т.д.,Лениздат,Ленинград,Основной,700000,1982,,русский,сборник рассказов,твёрдая,FALSE,,good - old,,84*108(1/32),443,была
408,,Сост.: С.Серов,,Городок в табакерке,Правда,Москва,Основной,3000000,1989,,русский,сборник сказок,твёрдая,FALSE,,normal - old,,84*108(1/32),656,была
409,,А.И.Куприн,Куприн,Собрание сочинений в девяти томах. Том 5.,Правда,Москва,Основной,400000,1964,,русский,собрание сочинений,твёрдая,TRUE,,medium - old,Мари,84*108(1/32),420,Маша
410,,Л.Н.Толстой,Л.Толстой,Детство. Отрочество. Юность.,Советская Россия,Москва,Основной,800000,1986,,русский,сборник романов,твёрдая,FALSE,,medium - old,,84*108(1/32),320,была
411,,М.М.Пришвин,Пришвин,Охотничьи были,Лениздат,Ленинград,Основной,200000,1983,,русский,сборник рассказов,твёрдая,FALSE,,normal - old,,84*108(1/32),383,была
412,,М.Горький,Горький,Дело Артамоновых. Рассказы.,Художественная литература,Москва,Дополнительный,400000,1980,,русский,сборник рассказов,мягкая,FALSE,,medium - old,,70*100(1/16),208,была
413,,Н.В.Гоголь,Гоголь,Петербургские повести,Ростовское книжное издательство,Ростов-на-Дону,Основной,300000,1979,,русский,сборник рассказов,мягкая,FALSE,Школьная библиотека,medium - old,,60*90(1/16),128,была
414,5-7360-0010-5,П.Трэверс,Трэверс,Мери Поппинс,"Агентство ""Харьков-Новости""",Харьков,Основной,300000,1991,,русский,роман,мягкая,TRUE,,normal - old,братику,84*108(1/32),208,была
415,,М.Е.Салтыков-Щедрин,Салтыков-Щедрин,Сказки,Детская литература,Москва,Основной,1700000,1979,,русский,сборник сказок,твёрдая,FALSE,,worn - old,,60*84(1/16),143,была
416,5-280-0234-9,М.И.Семевский,,Царица Катерина Алексеевна. очерк из русской истории XVIII века,Художественная литература,Ленинград,Основной,200000,1990,,русский,история,твёрдая,FALSE,репринт,good - old,,70*100(1/16),368,была
417,,Сомерсет Моэм,Моэм,Луна и грош,Связь,Москва,Основной,240000,1980,,русский,роман,мягкая,FALSE,,medium - old,,60*90(1/16),152,была
418,,М.А.Гершензон,,Головоломки профессора Головоломки,Детская литература,Москва,Основной,100000,1982,,русский,головоломки,твёрдая,FALSE,,worn - old,,70*100(1/16),142,была
419,,Гете,Гете,Фауст,Карелия,Петрозаводск,Основной,200000,1975,,русский,пьеса,твёрдая,FALSE,Школьная библиотека,medium - old,,84*108(1/32),304,была
420,,Борис Полевой,Полевой,Повесть о настоящем человеке,Народная асвета,Минск,Основной,300000,1977,,русский,роман,твёрдая,TRUE,Школьная библиотека,medium - old,,84*108(1/32),320,со Светлановского
421,5-09-000837-Х,В.М.Мультатули,,Мольер,Просвещение,Москва,Основной,150000,1988,,русский,биография,мягкая,FALSE,Биография писателя,medium - old,,84*108(1/32),142,неизвестно
422,,Е.И.Покусаев,,Н.Г.Чернышевский,Просвещение,Москва,Основной,100000,1976,,русский,биография,твёрдая,FALSE,,medium - old,,84*108(1/32),223,была
423,,А.Макаренко,Макаренко,Педагогическая поэма,Лумина,Кишинев,Основной,80000,1979,,русский,роман,твёрдая,FALSE,,worn - old,Единцы,60*84(1/16),600,была
424,,Анатолий Иванов,Ан.Иванов,Тени исчезают в полдень,Советский писатель,Москва,Основной,100000,1986,,русский,роман,твёрдая с обёрткой,FALSE,,normal - old,,60*90(1/16),608,была
425,,Савва Голованивский,Голованивский,Тополь на том берегу,Советский писатель,Москва,Дополнительный,100000,1980,,русский,роман,твёрдая,FALSE,,bad - old,,60*90(1/16),624,была
426,,А.С.Пушкин,Пушкин,Стихотворения и поэмы,Художественная литература,Москва,Основной,200000,1976,,русский,сборник,мягкая,FALSE,,worn - old,,84*108(1/32),319,была
427,5-87860-104-4,Ян Флеминг,Флеминг,Том 2.,"Концерн ""Олимп""",Баку,Основной,,1993,,русский,сборник романов,твёрдая,TRUE,,medium - old,,84*108(1/32),512,была
428,,Валентин Катаев,Катаев,Белеет парус одинокий,Детская литература,Москва,Дополнительный,150000,1975,,русский,повесть,твёрдая,FALSE,,worn - old,,84*108(1/32),288,была
429,5-7545-0510-8,Сост.: У.С.Коннка,,Волшебный короб,Карелия,Петрозаводск,Основной,100000,1993,,русский,сборник сказок,твёрдая,FALSE,,good - old,,70*100(1/16),191,была
430,5-289-01329-6,Александр Дюма,Дюма,Три мушкетёра,Лениздат,Санкт-Петербург,Дополнительный,150000,1992,,русский,роман,твёрдая,FALSE,,normal - old,,84*108(1/32),638,была
431,,А.А.Маркосян,Маркосян,Нормальная физиология,ГИ медицинской литературы,Москва,Основной,50000,1951,,русский,учебное пособие,твёрдая,FALSE,,medium - old,Мельн,60*92(1/16),356,была
432,5-87884-008-1,Братья Гримм,Гримм,Сказки в трёх книгах. Книга первая.,Оракул,Минск,Основной,200000,1992,,русский,сборник сказок,твёрдая,FALSE,,normal - old,,84*108(1/32),240,была
433,,Сост. Л.П.Иванова. В.В.Елисеева,,Ломоносов,Лениздат,Ленинград,Основной,50000,1979,,русский,альбом,твёрдая,FALSE,,medium - old,,70*84(1/16),,со Светлановского
434,,Виталий Коржиков,Коржиков,Волны словно кенгуру,Детская литература,Москва,Основной,100000,1981,,русский,сборник повестей,твёрдая,FALSE,,medium - old,,70*100(1/16),288,была
435,,Сост.: П.Х.Гребельский. А.Б.Мирвис,,Дом Романовых. Биографический справочник. Часть 2.,Художественная литература,Ленинград,Основной,50000,1990,,русский,история,твёрдая,FALSE,,bad - old,,60*84(1/16),158,была
436,,Николай Островский,Н.Островский,Как закалялась сталь,Современник,Москва,Основной,100000,1980,,русский,роман,твёрдая,FALSE,,normal - old,,84*108(1/32),364,была
437,5-8392-0085-9,Росс Макдональд. Ричард С.Пратер,,Дело Фергюсона. Финт.,"МП Риц ""Культ-Информ-Пресс""",Санкт-Петербург,Основной,50000,1994,,русский,сборник романов,мягкая,TRUE,Крутой детектив США. Выпуск 7.,medium - old,,84*108(1/32),255,была
438,5-8392-0071-9,Рекс Стаут. Реймонд Чандлер. Мики Спиллейн,,Окошко для смерти. Свидетель обвинения. И аз воздам,"МП Риц ""Культ-Информ-Пресс""",Санкт-Петербург,Основной,100000,1993,,русский,сборник романов,мягкая,TRUE,Крутой детектив США. Выпуск 3.,worn - old,,84*108(1/32),277,была
439,5-7545-0567-2,Александр Дюма,Дюма,Жозеф Бальзамо. Том 2.,Карелия,Петрозаводск,Основной,100000,1992,,русский,роман,твёрдая,FALSE,,normal - old,,84*108(1/32),591,со Светлановского
440,,Теодор Драйзер,Драйзер,Американская трагедия. Часть 1.,Художественная литература,Москва,Основной,1300000,1986,,русский,роман,мягкая,FALSE,Классики и современники,medium - old,,60*90(1/16),352,была
441,,Теодор Драйзер,Драйзер,Американская трагедия. Часть 2.,Художественная литература,Москва,Основной,1300000,1986,,русский,роман,мягкая,FALSE,Классики и современники,medium - old,,60*90(1/16),367,была
442,5-253-00122-0,Сост.: О.Колесникова,,Забытый день рождения,Правда,Москва,Основной,1000000,1990,,русский,сборник сказок,твёрдая,FALSE,,good - old,,84*108(1/32),592,была
443,,С.В.Белов,,Роман Достоевского Преступление и Наказание. Комменатрий.,Просвещение,Москва,Основной,335000,1985,,русский,учебное пособие,твёрдая,FALSE,,worn - old,,84*108(1/32),240,была
444,,Анатолий Членов,Членов,Особое задание,Детская литература,Москва,Основной,75000,1977,,русский,повесть,твёрдая с обёрткой,FALSE,,medium - old,,60*84(1/16),208,была
445,5-7325-0148-7,Бенджамин Спок,Спок,Ребенок и уход за ним,Политехника,Ленинград,Основной,500000,1991,,русский,публицистика,твёрдая,FALSE,,good - old,родителям 4.4,84*108(1/32),496,была
446,,К.Паустовский,Паустовский,Избранные произведения в двух томах. Том 1.,Художественная литература,Москва,Основной,400000,1977,,русский,собрание сочинений,твёрдая,FALSE,,medium - old,,60*90(1/16),311,со Светлановского
447,5-244-00481-6,В.В.Федоров,В.Федеров,Гидронавты в глубинах океана,Мысль,Москва,Основной,50000,1991,,русский,география,мягкая,FALSE,,medium - old,,84*108(1/32),189,была
448,5-289-01476-4,Эрл Стенли Гарднер,Гарднер,Оскал гориллы,Лениздат,Санкт-Петербург,Основной,50000,1992,,русский,роман,мягкая,TRUE,,worn - old,,84*108(1/32),203,была
449,,Л.Я.Лозинская,,Во главе двух академий,Наука,Москва,Основной,300000,1983,,русский,биография,мягкая,FALSE,Страницы истории нашей Родины,medium - old,,84*108(1/32),144,со Светлановского
450,,В.С.Нерсесянц,,Сократ,Наука,Москва,Основной,150000,1984,,русский,биография,мягкая,FALSE,Научные биографии,medium - old,,84*108(1/32),192,со Светлановского
451,5-8392-0036-0,Сост.: С.В.Хрипач,,Волшебный мир сказки,"Социально-коммерческая фирма ""Человек""",Санкт-Петербург,Основной,100000,1993,,русский,сборник сказок,твёрдая,TRUE,,worn - old,,70*100(1/16),432,была
452,,В.Я.Брюсов,Брюсов,Избранные сочинения,Художественная литература,Москва,Основной,300000,1980,,русский,поэзия,твёрдая,FALSE,,medium - old,,60*84(1/16),574,Старая книга
453,,Ред. П.Е.Поспелова,,Советский тыл в Великой Отечественной войне. Книга первая.,Мысль,Москва,Основной,30000,1974,,русский,история,твёрдая,FALSE,,medium - old,,84*108(1/32),300,была
454,,Ред. П.Е.Поспелова,,Советский тыл в Великой Отечественной войне. Книга вторая.,Мысль,Москва,Основной,30000,1974,,русский,история,твёрдая,FALSE,,medium - old,,84*108(1/32),367,была
455,5-08-000039-2,Сост.: А.Любарская,,В тридевятом царстве. в тридесятом государстве,Лицей,Санкт-Петербург,Дополнительный,100000,1991,,русский,сборник сказок,твёрдая,FALSE,,worn - old,,70*100(1/16),336,была
456,5-8396-0090-3,Раймонд Чандлер. Эрл Стенли Гарднер,,Детектив США. Сборник. Выпуск 9-ый.,Ренессанс,Москва,Основной,300000,1992,,русский,сборник романов,твёрдая,TRUE,,normal - old,,84*108(1/32),415,была
457,,В.Осеева,Осеева,Динка прощается с детством,Детская литература,Москва,Основной,100000,1979,,русский,повесть,твёрдая,FALSE,,medium - old,,60*90(1/16),302,была
458,,Николай Еселев,,Шишков,Молодая гвардия,Москва,Основной,150000,1973,,русский,биография,твёрдая,FALSE,Жизнь замечательных людей,medium - old,,84*108(1/32),224,со Светлановского
459,,А.Акимова,,Вольтер,Молодая гвардия,Москва,Основной,100000,1970,,русский,биография,твёрдая,FALSE,Жизнь замечательных людей,medium - old,,84*108(1/32),448,со Светлановского
460,5-88416-011-9,Ред. В.Б.Гришина,,Сказки скандинавских стран,Вариант,Санкт-Петербург,Основной,25000,1993,,русский,сборник сказок,твёрдая,FALSE,,normal - old,,60*90(1/16),608,была
461,5-7985-0005-5,Ян Флеминг,Флеминг,Королевское казино. Живи и дай умереть.,Гарт,Минск,Основной,520000,1991,,русский,сборник рассказов,твёрдая,TRUE,,normal - old,,84*108(1/32),320,была
462,,Льюис Кэрролл,Кэрролл,Приключения Алисы в стране чудес. Алиса в Зазеркалье.,Карелия,Петрозаводск,Основной,250000,1979,,русский,сборник сказок,твёрдая,FALSE,,worn - old,Натулечке,60*84(1/16),247,была
